"Field1","Field2_Text","Field3"
"The psychology of evil | Philip Zimbardo                                                                                                                              Verified            2.1M views11 years ago","The psychology of evil | Philip Zimbardo","2.1M views"
"This country isn't just carbon neutral — it's carbon negative | Tshering Tobgay                                                                                                                              Verified            2.1M views3 years ago","This country isn't just carbon neutral — it's carbon negative | Tshering Tobgay","2.1M views"
"Why people believe weird things | Michael Shermer                                                                                                                              Verified            2.1M views11 years ago","Why people believe weird things | Michael Shermer","2.1M views"
"Are China and the US doomed to conflict? | Kevin Rudd                                                                                                                              Verified            2.1M views4 years ago","Are China and the US doomed to conflict? | Kevin Rudd","2.1M views"
"The mind behind Tesla, SpaceX, SolarCity ... | Elon Musk                                                                                                                              Verified            2.1M views6 years ago","The mind behind Tesla, SpaceX, SolarCity ... | Elon Musk","2.1M views"
"How to tie your shoes | Terry Moore                                                                                                                              Verified            2.1M views8 years ago","How to tie your shoes | Terry Moore","2.1M views"
"Peter van Uhm: Why I chose a gun                                                                                                                              Verified            2.1M views7 years ago","Peter van Uhm: Why I chose a gun","2.1M views"
"The freakonomics of McDonalds vs. drugs | Steven Levitt                                                                                                                              Verified            2.1M views12 years ago","The freakonomics of McDonalds vs. drugs | Steven Levitt","2.1M views"
"What's hidden under the Greenland ice sheet? | Kristin Poinar                                                                                                                              Verified            2.1M views2 years ago","What's hidden under the Greenland ice sheet? | Kristin Poinar","2.1M views"
"How not to be ignorant about the world | Hans and Ola Rosling                                                                                                                              Verified            2.1M views5 years ago","How not to be ignorant about the world | Hans and Ola Rosling","2.1M views"
"Why you should define your fears instead of your goals | Tim Ferriss                                                                                                                              Verified            2M views2 years ago","Why you should define your fears instead of your goals | Tim Ferriss","2M views"
"How the blockchain is changing money and business | Don Tapscott                                                                                                                              Verified            2M views3 years ago","How the blockchain is changing money and business | Don Tapscott","2M views"
"Why I'm done trying to be ""man enough"" | Justin Baldoni                                                                                                                              Verified            2M views1 year ago","Why I'm done trying to be ""man enough"" | Justin Baldoni","2M views"
"What happens when our computers get smarter than we are? | Nick Bostrom                                                                                                                              Verified            2M views4 years ago","What happens when our computers get smarter than we are? | Nick Bostrom","2M views"
"How one tweet can ruin your life | Jon Ronson                                                                                                                              Verified            2M views4 years ago","How one tweet can ruin your life | Jon Ronson","2M views"
"How the worst moments in our lives make us who we are | Andrew Solomon                                                                                                                              Verified            2M views5 years ago","How the worst moments in our lives make us who we are | Andrew Solomon","2M views"
"Robots that fly ... and cooperate | Vijay Kumar                                                                                                                              Verified            2M views7 years ago","Robots that fly ... and cooperate | Vijay Kumar","2M views"
"Unveiling game-changing wearable tech | Pattie Maes                                                                                                                              Verified            2M views10 years ago","Unveiling game-changing wearable tech | Pattie Maes","2M views"
"Magical houses, made of bamboo | Elora Hardy                                                                                                                              Verified            2M views4 years ago","Magical houses, made of bamboo | Elora Hardy","2M views"
"The violin, and my dark night of the soul | Ji-Hae Park                                                                                                                              Verified            1.9M views6 years ago","The violin, and my dark night of the soul | Ji-Hae Park","1.9M views"
"A performance merging dance and biology | Pilobolus                                                                                                                              Verified            1.9M views12 years ago","A performance merging dance and biology | Pilobolus","1.9M views"
"Why thinking you're ugly is bad for you | Meaghan Ramsey                                                                                                                              Verified            1.9M views5 years ago","Why thinking you're ugly is bad for you | Meaghan Ramsey","1.9M views"
"Science can answer moral questions | Sam Harris                                                                                                                              Verified            1.9M views9 years ago","Science can answer moral questions | Sam Harris","1.9M views"
"A black man goes undercover in the alt-right | Theo E.J. Wilson                                                                                                                              Verified            1.9M views2 years ago","A black man goes undercover in the alt-right | Theo E.J. Wilson","1.9M views"
"How to truly listen | Evelyn Glennie                                                                                                                              Verified            1.9M views12 years ago","How to truly listen | Evelyn Glennie","1.9M views"
"The difference between winning and succeeding | John Wooden                                                                                                                              Verified            1.9M views10 years ago","The difference between winning and succeeding | John Wooden","1.9M views"
"Learn to read Chinese ... with ease! | ShaoLan                                                                                                                              Verified            1.9M views6 years ago","Learn to read Chinese ... with ease! | ShaoLan","1.9M views"
"Our story of rape and reconciliation | Thordis Elva and Tom Stranger                                                                                                                              Verified            1.8M views2 years ago","Our story of rape and reconciliation | Thordis Elva and Tom Stranger","1.8M views"
"The voices in my head | Eleanor Longden                                                                                                                              Verified            1.8M views6 years ago","The voices in my head | Eleanor Longden","1.8M views"
"Hans Rosling: Debunking third-world myths with the best stats you've ever seen                                                                                                                              Verified            1.8M views12 years ago","Hans Rosling: Debunking third-world myths with the best stats you've ever seen","1.8M views"
"World champion whistler | Geert Chatrou                                                                                                                              Verified            1.8M views8 years ago","World champion whistler | Geert Chatrou","1.8M views"
"Why are we happy? Why aren't we happy? | Dan Gilbert                                                                                                                              Verified            1.8M views12 years ago","Why are we happy? Why aren't we happy? | Dan Gilbert","1.8M views"
"Impossible photography | Erik Johansson                                                                                                                              Verified            1.8M views7 years ago","Impossible photography | Erik Johansson","1.8M views"
"Electrical experiments with plants that count and communicate | Greg Gage                                                                                                                              Verified            1.8M views2 years ago","Electrical experiments with plants that count and communicate | Greg Gage","1.8M views"
"What if 3D printing was 100x faster? | Joseph DeSimone                                                                                                                              Verified            1.8M views4 years ago","What if 3D printing was 100x faster? | Joseph DeSimone","1.8M views"
"This could be why you're depressed or anxious | Johann Hari                                                                                                                              Verified            1.8M views1 month ago","This could be why you're depressed or anxious | Johann Hari","1.8M views"
"Peter Attia: What if we're wrong about diabetes?                                                                                                                              Verified            1.8M views6 years ago","Peter Attia: What if we're wrong about diabetes?","1.8M views"
